dataset,wsi_id
CAMELYON16,normal_001
CAMELYON16,normal_002
CAMELYON16,normal_003
CAMELYON16,normal_004
CAMELYON16,normal_005
CAMELYON16,normal_006
CAMELYON16,normal_007
CAMELYON16,normal_008
CAMELYON16,normal_009
CAMELYON16,normal_010
CAMELYON16,normal_011
CAMELYON16,normal_012
CAMELYON16,normal_013
CAMELYON16,normal_014
CAMELYON16,normal_015
CAMELYON16,normal_016
CAMELYON16,normal_017
CAMELYON16,normal_018
CAMELYON16,normal_019
CAMELYON16,normal_020
CAMELYON16,normal_021
CAMELYON16,normal_022
CAMELYON16,normal_023
CAMELYON16,normal_024
CAMELYON16,normal_025
CAMELYON16,normal_026
CAMELYON16,normal_027
CAMELYON16,normal_028
CAMELYON16,normal_029
CAMELYON16,normal_030
CAMELYON16,normal_031
CAMELYON16,normal_032
CAMELYON16,normal_033
CAMELYON16,normal_034
CAMELYON16,normal_035
CAMELYON16,normal_036
CAMELYON16,normal_037
CAMELYON16,normal_038
CAMELYON16,normal_039
CAMELYON16,normal_040
CAMELYON16,normal_041
CAMELYON16,normal_042
CAMELYON16,normal_043
CAMELYON16,normal_044
CAMELYON16,normal_045
CAMELYON16,normal_046
CAMELYON16,normal_047
CAMELYON16,normal_048
CAMELYON16,normal_049
CAMELYON16,normal_050
CAMELYON16,normal_051
CAMELYON16,normal_052
CAMELYON16,normal_053
CAMELYON16,normal_054
CAMELYON16,normal_055
CAMELYON16,normal_056
CAMELYON16,normal_057
CAMELYON16,normal_058
CAMELYON16,normal_059
CAMELYON16,normal_060
CAMELYON16,normal_061
CAMELYON16,normal_062
CAMELYON16,normal_063
CAMELYON16,normal_064
CAMELYON16,normal_065
CAMELYON16,normal_066
CAMELYON16,normal_067
CAMELYON16,normal_068
CAMELYON16,normal_069
CAMELYON16,normal_070
CAMELYON16,normal_071
CAMELYON16,normal_072
CAMELYON16,normal_073
CAMELYON16,normal_074
CAMELYON16,normal_075
CAMELYON16,normal_076
CAMELYON16,normal_077
CAMELYON16,normal_078
CAMELYON16,normal_079
CAMELYON16,normal_080
CAMELYON16,normal_081
CAMELYON16,normal_082
CAMELYON16,normal_083
CAMELYON16,normal_084
CAMELYON16,normal_085
CAMELYON16,normal_087
CAMELYON16,normal_088
CAMELYON16,normal_089
CAMELYON16,normal_090
CAMELYON16,normal_091
CAMELYON16,normal_092
CAMELYON16,normal_093
CAMELYON16,normal_094
CAMELYON16,normal_095
CAMELYON16,normal_096
