dataset,wsi_id
TCIA-CPTAC,2f2e5477-42a4-4906-a943-bf7f80_D1_D1
TCIA-CPTAC,5a84eae1-197e-4463-ad65-59becc_D1_D1
TCIA-CPTAC,93e30fd5-e57e-4503-a175-863c7d_D1_D1
TCIA-CPTAC,9f905736-f662-41d6-b3ac-16758d_D1_D1
TCIA-CPTAC,C3L-00001-21
TCIA-CPTAC,C3L-00001-26
TCIA-CPTAC,C3L-00009-21
TCIA-CPTAC,C3L-00009-26
TCIA-CPTAC,C3L-00080-21
TCIA-CPTAC,C3L-00080-26
TCIA-CPTAC,C3L-00081-21
TCIA-CPTAC,C3L-00081-26
TCIA-CPTAC,C3L-00083-21
TCIA-CPTAC,C3L-00083-26
TCIA-CPTAC,C3L-00093-21
TCIA-CPTAC,C3L-00093-26
TCIA-CPTAC,C3L-00094-21
TCIA-CPTAC,C3L-00094-26
TCIA-CPTAC,C3L-00095-21
TCIA-CPTAC,C3L-00095-22
TCIA-CPTAC,C3L-00095-23
TCIA-CPTAC,C3L-00095-26
TCIA-CPTAC,C3L-00140-21
TCIA-CPTAC,C3L-00140-22
TCIA-CPTAC,C3L-00140-26
TCIA-CPTAC,C3L-00144-21
TCIA-CPTAC,C3L-00144-26
TCIA-CPTAC,C3L-00263-21
TCIA-CPTAC,C3L-00263-22
TCIA-CPTAC,C3L-00263-23
TCIA-CPTAC,C3L-00263-24
TCIA-CPTAC,C3L-00263-25
TCIA-CPTAC,C3L-00263-26
TCIA-CPTAC,C3L-00263-27
TCIA-CPTAC,C3L-00263-28
TCIA-CPTAC,C3L-00279-21
TCIA-CPTAC,C3L-00279-22
TCIA-CPTAC,C3L-00279-23
TCIA-CPTAC,C3L-00279-24
TCIA-CPTAC,C3L-00279-25
TCIA-CPTAC,C3L-00279-26
TCIA-CPTAC,C3L-00368-21
TCIA-CPTAC,C3L-00368-22
TCIA-CPTAC,C3L-00368-26
TCIA-CPTAC,C3L-00412-21
TCIA-CPTAC,C3L-00412-26
TCIA-CPTAC,C3L-00415-21
TCIA-CPTAC,C3L-00415-23
TCIA-CPTAC,C3L-00415-26
TCIA-CPTAC,C3L-00422-21
TCIA-CPTAC,C3L-00422-22
TCIA-CPTAC,C3L-00422-23
TCIA-CPTAC,C3L-00422-24
TCIA-CPTAC,C3L-00422-25
TCIA-CPTAC,C3L-00422-26
TCIA-CPTAC,C3L-00444-21
TCIA-CPTAC,C3L-00444-22
TCIA-CPTAC,C3L-00444-23
TCIA-CPTAC,C3L-00444-26
TCIA-CPTAC,C3L-00444-27
TCIA-CPTAC,C3L-00444-28
TCIA-CPTAC,C3L-00445-21
TCIA-CPTAC,C3L-00445-22
TCIA-CPTAC,C3L-00445-23
TCIA-CPTAC,C3L-00445-24
TCIA-CPTAC,C3L-00445-25
TCIA-CPTAC,C3L-00445-26
TCIA-CPTAC,C3L-00446-21
TCIA-CPTAC,C3L-00446-22
TCIA-CPTAC,C3L-00446-23
TCIA-CPTAC,C3L-00446-24
TCIA-CPTAC,C3L-00446-25
TCIA-CPTAC,C3L-00446-26
TCIA-CPTAC,C3L-00446-27
TCIA-CPTAC,C3L-00503-21
TCIA-CPTAC,C3L-00503-22
TCIA-CPTAC,C3L-00503-23
TCIA-CPTAC,C3L-00503-24
TCIA-CPTAC,C3L-00503-25
TCIA-CPTAC,C3L-00503-26
TCIA-CPTAC,C3L-00510-21
TCIA-CPTAC,C3L-00510-22
TCIA-CPTAC,C3L-00510-23
TCIA-CPTAC,C3L-00510-24
TCIA-CPTAC,C3L-00510-25
TCIA-CPTAC,C3L-00510-26
TCIA-CPTAC,C3L-00568-21
TCIA-CPTAC,C3L-00568-22
TCIA-CPTAC,C3L-00568-23
TCIA-CPTAC,C3L-00568-26
TCIA-CPTAC,C3L-00603-21
TCIA-CPTAC,C3L-00603-22
TCIA-CPTAC,C3L-00603-26
TCIA-CPTAC,C3L-00604-21
TCIA-CPTAC,C3L-00604-22
TCIA-CPTAC,C3L-00604-23
TCIA-CPTAC,C3L-00604-26
TCIA-CPTAC,C3L-00893-21
TCIA-CPTAC,C3L-00893-22
TCIA-CPTAC,C3L-00893-23
TCIA-CPTAC,C3L-00893-24
TCIA-CPTAC,C3L-00893-25
TCIA-CPTAC,C3L-00893-26
TCIA-CPTAC,C3L-00904-21
TCIA-CPTAC,C3L-00904-22
TCIA-CPTAC,C3L-00904-26
TCIA-CPTAC,C3L-00913-21
TCIA-CPTAC,C3L-00913-22
TCIA-CPTAC,C3L-00913-23
TCIA-CPTAC,C3L-00913-26
TCIA-CPTAC,C3L-00923-23
TCIA-CPTAC,C3L-00923-26
TCIA-CPTAC,C3L-00927-21
TCIA-CPTAC,C3L-00927-22
TCIA-CPTAC,C3L-00927-23
TCIA-CPTAC,C3L-00927-26
TCIA-CPTAC,C3L-00965-21
TCIA-CPTAC,C3L-00965-22
TCIA-CPTAC,C3L-00965-23
TCIA-CPTAC,C3L-00965-24
TCIA-CPTAC,C3L-00965-26
TCIA-CPTAC,C3L-00965-27
TCIA-CPTAC,C3L-00973-21
TCIA-CPTAC,C3L-00973-22
TCIA-CPTAC,C3L-00973-23
TCIA-CPTAC,C3L-00973-24
TCIA-CPTAC,C3L-00973-25
TCIA-CPTAC,C3L-00973-27
TCIA-CPTAC,C3L-00973-28
TCIA-CPTAC,C3L-00993-21
TCIA-CPTAC,C3L-00993-22
TCIA-CPTAC,C3L-00993-23
TCIA-CPTAC,C3L-00993-24
TCIA-CPTAC,C3L-00993-26
TCIA-CPTAC,C3L-00993-27
TCIA-CPTAC,C3L-01000-24
TCIA-CPTAC,C3L-01000-25
TCIA-CPTAC,C3L-01000-26
TCIA-CPTAC,C3L-01285-21
TCIA-CPTAC,C3L-01285-22
TCIA-CPTAC,C3L-01285-23
TCIA-CPTAC,C3L-01285-26
TCIA-CPTAC,C3L-01330-21
TCIA-CPTAC,C3L-01330-22
TCIA-CPTAC,C3L-01330-23
TCIA-CPTAC,C3L-01330-24
TCIA-CPTAC,C3L-01330-25
TCIA-CPTAC,C3L-01330-26
TCIA-CPTAC,C3L-01455-21
TCIA-CPTAC,C3L-01455-22
TCIA-CPTAC,C3L-01455-23
TCIA-CPTAC,C3L-01455-24
TCIA-CPTAC,C3L-01455-25
TCIA-CPTAC,C3L-01455-26
TCIA-CPTAC,C3L-01606-21
TCIA-CPTAC,C3L-01606-26
TCIA-CPTAC,C3L-01632-21
TCIA-CPTAC,C3L-01632-22
TCIA-CPTAC,C3L-01632-23
TCIA-CPTAC,C3L-01632-26
TCIA-CPTAC,C3L-01663-21
TCIA-CPTAC,C3L-01663-22
TCIA-CPTAC,C3L-01663-26
TCIA-CPTAC,C3L-01682-21
TCIA-CPTAC,C3L-01682-22
TCIA-CPTAC,C3L-01682-23
TCIA-CPTAC,C3L-01682-24
TCIA-CPTAC,C3L-01683-26
TCIA-CPTAC,C3L-01683-27
TCIA-CPTAC,C3L-01683-28
TCIA-CPTAC,C3L-01683-29
TCIA-CPTAC,C3L-01838-23
TCIA-CPTAC,C3L-01838-26
TCIA-CPTAC,C3L-01862-21
TCIA-CPTAC,C3L-01862-22
TCIA-CPTAC,C3L-01862-23
TCIA-CPTAC,C3L-01862-26
TCIA-CPTAC,C3L-01884-21
TCIA-CPTAC,C3L-01884-22
TCIA-CPTAC,C3L-01884-23
TCIA-CPTAC,C3L-01884-26
TCIA-CPTAC,C3L-01889-21
TCIA-CPTAC,C3L-01889-26
TCIA-CPTAC,C3L-01890-22
TCIA-CPTAC,C3L-01890-26
TCIA-CPTAC,C3L-01924-21
TCIA-CPTAC,C3L-01924-22
TCIA-CPTAC,C3L-01924-23
TCIA-CPTAC,C3L-01924-24
TCIA-CPTAC,C3L-01924-25
TCIA-CPTAC,C3L-01924-27
TCIA-CPTAC,C3L-01924-28
TCIA-CPTAC,C3L-02127-21
TCIA-CPTAC,C3L-02127-22
TCIA-CPTAC,C3L-02127-23
TCIA-CPTAC,C3L-02127-24
TCIA-CPTAC,C3L-02127-25
TCIA-CPTAC,C3L-02127-26
TCIA-CPTAC,C3L-02129-21
TCIA-CPTAC,C3L-02129-22
TCIA-CPTAC,C3L-02129-23
TCIA-CPTAC,C3L-02129-24
TCIA-CPTAC,C3L-02130-21
TCIA-CPTAC,C3L-02130-22
TCIA-CPTAC,C3L-02130-23
TCIA-CPTAC,C3L-02130-24
TCIA-CPTAC,C3L-02130-25
TCIA-CPTAC,C3L-02130-26
TCIA-CPTAC,C3L-02163-21
